,Fold,k,sigma,epsilon,Error
187,3,7,11,,15526.557319359094
188,3,7,12,,15894.371639099263
189,3,7,13,,16262.063488275797
190,3,8,4,,13584.880563883444
191,3,8,5,,13703.968653217473
192,3,8,6,,13861.892368342034
193,3,8,7,,14069.450655565724
194,3,8,8,,14325.84180216063
195,3,8,9,,14624.155373826205
196,3,8,10,,14955.35048887772
197,3,8,11,,15310.226163361847
198,3,8,12,,15680.250043636524
199,3,8,13,,16057.900223314213
200,4,4,4,,12842.206844751125
201,4,4,5,,12940.38056519756
202,4,4,6,,13084.54354899275
203,4,4,7,,13280.875179284363
204,4,4,8,,13523.071395396992
205,4,4,9,,13798.88524362109
206,4,4,10,,14095.04279225471
207,4,4,11,,14399.848308526482
208,4,4,12,,14704.132593925038
209,4,4,13,,15001.289442083616
210,4,5,4,,12951.794452009364
211,4,5,5,,13076.70284146016
212,4,5,6,,13241.125356566889
213,4,5,7,,13453.578419739471
214,4,5,8,,13709.76002924096
215,4,5,9,,13998.981756990031
216,4,5,10,,14309.023491877098
217,4,5,11,,14628.747040126442
218,4,5,12,,14949.131032477451
219,4,5,13,,15263.433895813909
220,4,6,4,,13036.98069597676
221,4,6,5,,13184.068095720484
222,4,6,6,,13365.35772683426
223,4,6,7,,13591.320642649664
224,4,6,8,,13859.714086276384
225,4,6,9,,14161.858894155128
226,4,6,10,,14487.303077270955
227,4,6,11,,14826.245941743302
228,4,6,12,,15170.47883160652
229,4,6,13,,15513.5643137584
230,4,7,4,,13146.65703020129
231,4,7,5,,13322.948304027235
232,4,7,6,,13526.604536369592
233,4,7,7,,13770.315816558124
234,4,7,8,,14054.0553952201
235,4,7,9,,14371.199280050652
236,4,7,10,,14713.03879579682
237,4,7,11,,15071.057877968748
238,4,7,12,,15437.809735512945
239,4,7,13,,15807.128395463058
240,4,8,4,,13217.583242795108
241,4,8,5,,13419.288145994164
242,4,8,6,,13644.269328698114
243,4,8,7,,13906.025719827609
244,4,8,8,,14205.554049334263
245,4,8,9,,14537.202301965614
246,4,8,10,,14893.05365142034
247,4,8,11,,15265.12426052758
248,4,8,12,,15646.22207775832
249,4,8,13,,16030.195983736612
250,5,4,4,,20938.971534792905
251,5,4,5,,20963.14277761067
252,5,4,6,,20975.214772894946
253,5,4,7,,20978.504468580704
254,5,4,8,,20975.58340790468
255,5,4,9,,20968.566786267496
256,5,4,10,,20959.119123708377
257,5,4,11,,20948.45755080409
258,5,4,12,,20937.40582539861
259,5,4,13,,20926.47836667393
260,5,5,4,,20970.0166872392
261,5,5,5,,21012.777194331786
262,5,5,6,,21054.4230296034
263,5,5,7,,21103.064964421286
264,5,5,8,,21162.14572372489
265,5,5,9,,21231.283594265828
266,5,5,10,,21307.92093864884
267,5,5,11,,21388.798649723394
268,5,5,12,,21470.87917859508
269,5,5,13,,21551.7562569438
270,5,6,4,,21101.36499781881
271,5,6,5,,21174.77856351133
272,5,6,6,,21250.89265626328
273,5,6,7,,21347.017224753905
274,5,6,8,,21471.82032756896
275,5,6,9,,21625.38023910888
276,5,6,10,,21802.07085883808
277,5,6,11,,21993.89988402193
278,5,6,12,,22192.938744405743
279,5,6,13,,22392.583986981488
280,5,7,4,,21141.09568034022
281,5,7,5,,21233.38320219628
282,5,7,6,,21333.490501533342
283,5,7,7,,21463.764201012324
284,5,7,8,,21635.48571437953
285,5,7,9,,21848.12070235485
286,5,7,10,,22093.09595866968
287,5,7,11,,22358.559380940347
288,5,7,12,,22632.92894051191
289,5,7,13,,22906.723266520527
290,5,8,4,,21213.62888158928
291,5,8,5,,21328.69320147964
292,5,8,6,,21446.96389868311
293,5,8,7,,21592.29348378704
294,5,8,8,,21776.877661020924
295,5,8,9,,22000.234997852764
296,5,8,10,,22253.321570371296
297,5,8,11,,22523.75673151827
298,5,8,12,,22799.674679056938
299,5,8,13,,23071.636081818608
300,6,4,4,,12807.472200715632
301,6,4,5,,12889.002681424132
302,6,4,6,,13019.44993118696
303,6,4,7,,13204.553557348674
304,6,4,8,,13437.493667227936
305,6,4,9,,13705.589595096266
306,6,4,10,,13995.229178690246
307,6,4,11,,14294.45765848779
308,6,4,12,,14593.907755489778
309,6,4,13,,14886.82130590694
310,6,5,4,,12848.69741322232
311,6,5,5,,12948.95895834342
312,6,5,6,,13093.944974316331
313,6,5,7,,13291.05349222859
314,6,5,8,,13534.91892680047
315,6,5,9,,13813.926217323611
316,6,5,10,,14115.057537812638
317,6,5,11,,14426.517237511704
318,6,5,12,,14738.781723990523
319,6,5,13,,15044.762827827954
320,6,6,4,,12949.076549042353
321,6,6,5,,13065.447804385696
322,6,6,6,,13221.562184543538
323,6,6,7,,13427.182164903868
324,6,6,8,,13678.72095992481
325,6,6,9,,13965.874102505097
326,6,6,10,,14276.457304482554
327,6,6,11,,14599.044898652724
328,6,6,12,,14924.102478853109
329,6,6,13,,15244.274278412831
330,6,7,4,,13059.806131739364
331,6,7,5,,13202.444780524767
332,6,7,6,,13379.287467943494
333,6,7,7,,13602.250357753004
334,6,7,8,,13870.014038103209
335,6,7,9,,14174.36182462368
336,6,7,10,,14504.724068628097
337,6,7,11,,14850.648199079777
338,6,7,12,,15202.934216181076
339,6,7,13,,15554.046818679326
340,6,8,4,,13113.499104668746
341,6,8,5,,13271.68597555249
342,6,8,6,,13460.980697090485
343,6,8,7,,13694.568267549976
344,6,8,8,,13972.521632360873
345,6,8,9,,14288.07833780551
346,6,8,10,,14631.986304951835
347,6,8,11,,14994.766883733872
348,6,8,12,,15367.743511445093
349,6,8,13,,15743.463220672596
350,7,4,4,,13289.473836195728
351,7,4,5,,13404.958921979784
352,7,4,6,,13558.373558311116
353,7,4,7,,13759.935692336923
354,7,4,8,,14005.205285831657
355,7,4,9,,14282.864359590738
356,7,4,10,,14580.134048866992
357,7,4,11,,14885.59850863002
358,7,4,12,,15190.255608845408
359,7,4,13,,15487.604043292093
360,7,5,4,,13373.75479617138
361,7,5,5,,13497.18768048182
362,7,5,6,,13654.019716537783
363,7,5,7,,13857.382621770232
364,7,5,8,,14104.557369295668
365,7,5,9,,14385.235850981724
366,7,5,10,,14687.0895244615
367,7,5,11,,14998.711417714614
368,7,5,12,,15310.812417169598
369,7,5,13,,15616.454823868726
370,7,6,4,,13550.153831587822
371,7,6,5,,13700.551343794086
372,7,6,6,,13876.552062568213
373,7,6,7,,14094.502168475905
374,7,6,8,,14353.947339686432
375,7,6,9,,14646.217008579148
376,7,6,10,,14960.058050510564
377,7,6,11,,15284.621051301614
378,7,6,12,,15610.754884682097
379,7,6,13,,15931.373572756225
380,7,7,4,,13670.93826639447
381,7,7,5,,13839.640785502408
382,7,7,6,,14028.42713251719
383,7,7,7,,14256.546564657781
384,7,7,8,,14525.920875985461
385,7,7,9,,14829.900719827137
386,7,7,10,,15158.754835890295
387,7,7,11,,15502.530565994073
388,7,7,12,,15852.357338345299
389,7,7,13,,16200.93250428617
390,7,8,4,,
391,7,8,5,,
392,7,8,6,,
393,7,8,7,,
394,7,8,8,,
395,7,8,9,,
396,7,8,10,,
397,7,8,11,,
398,7,8,12,,
399,7,8,13,,
400,8,4,4,,
401,8,4,5,,
402,8,4,6,,
403,8,4,7,,
404,8,4,8,,
405,8,4,9,,
406,8,4,10,,
407,8,4,11,,
408,8,4,12,,
409,8,4,13,,
410,8,5,4,,
411,8,5,5,,
412,8,5,6,,
413,8,5,7,,
414,8,5,8,,
415,8,5,9,,
416,8,5,10,,
417,8,5,11,,
418,8,5,12,,
419,8,5,13,,
420,8,6,4,,
421,8,6,5,,
422,8,6,6,,
423,8,6,7,,
424,8,6,8,,
425,8,6,9,,
426,8,6,10,,
427,8,6,11,,
428,8,6,12,,
429,8,6,13,,
430,8,7,4,,
431,8,7,5,,
432,8,7,6,,
433,8,7,7,,
434,8,7,8,,
435,8,7,9,,
436,8,7,10,,
437,8,7,11,,
438,8,7,12,,
439,8,7,13,,
440,8,8,4,,
441,8,8,5,,
442,8,8,6,,
443,8,8,7,,
444,8,8,8,,
445,8,8,9,,
446,8,8,10,,
447,8,8,11,,
448,8,8,12,,
449,8,8,13,,
450,9,4,4,,
451,9,4,5,,
452,9,4,6,,
453,9,4,7,,
454,9,4,8,,
455,9,4,9,,
456,9,4,10,,
457,9,4,11,,
458,9,4,12,,
459,9,4,13,,
460,9,5,4,,
