,Fold,k,sigma,epsilon,Error
0,0,4,,,0.050062656641604
1,0,5,,,0.0741161616161616
2,0,6,,,0.050062656641604
3,0,7,,,0.050062656641604
4,0,8,,,0.050062656641604
5,1,4,,,0.050062656641604
6,1,5,,,0.050062656641604
7,1,6,,,0.050062656641604
8,1,7,,,0.050062656641604
9,1,8,,,0.050062656641604
10,2,4,,,0.050062656641604
11,2,5,,,0.050062656641604
12,2,6,,,0.050062656641604
13,2,7,,,0.050062656641604
14,2,8,,,0.050062656641604
15,3,4,,,0.050062656641604
16,3,5,,,0.050062656641604
17,3,6,,,0.050062656641604
18,3,7,,,0.050062656641604
19,3,8,,,0.050062656641604
20,4,4,,,0.050062656641604
21,4,5,,,0.050062656641604
22,4,6,,,0.050062656641604
23,4,7,,,0.050062656641604
24,4,8,,,0.050062656641604
25,5,4,,,0.050062656641604
26,5,5,,,0.050062656641604
27,5,6,,,0.050062656641604
28,5,7,,,0.050062656641604
29,5,8,,,0.050062656641604
30,6,4,,,0.050062656641604
31,6,5,,,0.050062656641604
32,6,6,,,0.050062656641604
33,6,7,,,0.050062656641604
34,6,8,,,0.0749999999999999
35,7,4,,,0.050062656641604
36,7,5,,,0.0741161616161616
37,7,6,,,0.0749999999999999
38,7,7,,,0.07499999999999996
39,7,8,,,
40,8,4,,,
41,8,5,,,
42,8,6,,,
43,8,7,,,
44,8,8,,,
45,9,4,,,
46,9,5,,,
47,9,6,,,
48,9,7,,,
49,9,8,,,
