,Fold,k,sigma,Error
0,0,4,,0.4914915966386555
1,0,5,,0.19573560767590614
2,0,6,,0.21532091097308492
3,0,7,,0.34852941176470587
4,0,8,,0.34852941176470587
5,1,4,,0.42754329004329006
6,1,5,,0.4832298136645963
7,1,6,,0.20556722689075624
8,1,7,,0.5081168831168831
9,1,8,,0.42539682539682544
10,2,4,,0.42754329004329006
11,2,5,,0.405171130952381
12,2,6,,0.2970859985785359
13,2,7,,0.2663961038961039
14,2,8,,0.2970859985785359
15,3,4,,0.20556722689075624
16,3,5,,0.20556722689075624
17,3,6,,0.34852941176470587
18,3,7,,0.39843638948116555
19,3,8,,0.21532091097308492
20,4,4,,0.4832298136645963
21,4,5,,0.34696969696969693
22,4,6,,0.4832298136645963
23,4,7,,0.2970859985785359
24,4,8,,0.21532091097308492
25,5,4,,0.30000000000000004
26,5,5,,0.30000000000000004
27,5,6,,0.34852941176470587
28,5,7,,0.20556722689075624
29,5,8,,0.30000000000000004
30,6,4,,
31,6,5,,
32,6,6,,
33,6,7,,
34,6,8,,
35,7,4,,
36,7,5,,
37,7,6,,
38,7,7,,
39,7,8,,
40,8,4,,
41,8,5,,
42,8,6,,
43,8,7,,
44,8,8,,
45,9,4,,
46,9,5,,
47,9,6,,
48,9,7,,
49,9,8,,
