,k,sigma,epsilon,Error
0,8,13.0,2.0,8.865847779012192
1,8,13.0,2.0,3.8906812982260783
2,6,13.0,2.0,3.1541335787842013
3,8,4.0,2.0,3.343807682855357
4,5,13.0,2.0,4.148676538392896
5,4,13.0,2.0,5.4927977228498825
6,7,4.0,2.0,2.418472491999119
7,8,4.0,2.0,4.008280780256722
8,5,13.0,2.0,4.110022864166614
9,5,13.0,2.0,10.552076299875884
