,k,sigma,epsilon,Error
0,8,4.0,,4.279998913555472
1,8,4.0,,5.3888816132538455
2,8,4.0,,4.9210127828882255
3,7,4.0,,4.840471904708284
4,8,4.0,,5.6381110061389395
5,7,4.0,,4.827837207349467
6,8,4.0,,5.194876072173037
7,8,4.0,,4.864881448063893
8,8,4.0,,5.181835833601646
9,8,4.0,,4.317635451292263
