,Fold,k,sigma,epsilon,Error
0,0,4,4,,6.488409216
1,0,4,5,,6.490216971
2,0,4,6,,6.491432544
3,0,4,7,,6.492305407
4,0,4,8,,6.49296238
5,0,4,9,,6.493474658
6,0,4,10,,6.493885261
7,0,4,11,,6.494221708
8,0,4,12,,6.494502423
9,0,4,13,,6.494740212
10,0,5,4,,6.060988385
11,0,5,5,,6.061832821
12,0,5,6,,6.062405132
13,0,5,7,,6.06281812
14,0,5,8,,6.063130017
15,0,5,9,,6.063373826
16,0,5,10,,6.063569618
17,0,5,11,,6.063730294
18,0,5,12,,6.063864528
19,0,5,13,,6.063978375
20,0,6,4,,5.637191216
21,0,6,5,,5.637954068
22,0,6,6,,5.638478915
23,0,6,7,,5.638861438
24,0,6,8,,5.639152387
25,0,6,9,,5.639381037
26,0,6,10,,5.639565421
27,0,6,11,,5.639717242
28,0,6,12,,5.639844427
29,0,6,13,,5.63995255
30,0,7,4,,5.609956774
31,0,7,5,,5.611303703
32,0,7,6,,5.61221857
33,0,7,7,,5.612880036
34,0,7,8,,5.613380401
35,0,7,9,,5.613772061
36,0,7,10,,5.614086937
37,0,7,11,,5.614345582
38,0,7,12,,5.61456183
39,0,7,13,,5.614745354
40,0,8,4,,5.600985238
41,0,8,5,,5.60282186
42,0,8,6,,5.604065436
43,0,8,7,,5.604962776
44,0,8,8,,5.605640627
45,0,8,9,,5.60617067
46,0,8,10,,5.606596462
47,0,8,11,,5.606945993
48,0,8,12,,5.607238072
49,0,8,13,,5.607485826
50,1,4,4,,6.32626983
51,1,4,5,,6.326946451
52,1,4,6,,6.327400598
53,1,4,7,,6.327726267
54,1,4,8,,6.32797113
55,1,4,9,,6.328161902
56,1,4,10,,6.328314704
57,1,4,11,,6.328439839
58,1,4,12,,6.328544201
59,1,4,13,,6.328632588
60,1,5,4,,6.065692683
61,1,5,5,,6.067565593
62,1,5,6,,6.0688343
63,1,5,7,,6.069750146
64,1,5,8,,6.070442213
65,1,5,9,,6.070983521
66,1,5,10,,6.071418462
