,k,sigma,epsilon,Error
0,5,3.0,10.0,2.561242703960167
1,5,3.0,10.0,6.596170402044135
2,6,3.0,10.0,11.242839013777536
3,6,3.0,10.0,6.182357773278287
4,6,3.0,10.0,3.446221789483356
5,5,3.0,10.0,11.17683710307019
6,5,3.0,10.0,20.1429092003862
7,5,3.0,10.0,1.4574739418801905
8,6,3.0,10.0,2.6536091526501533
9,6,3.0,10.0,4.301186558523112
